Date,Country,Product,Units Sold,Revenue,Cost,Profit
43862,India,Chocolate Chip,292,1460,584,876
43983,India,Chocolate Chip,2518,12590,5036,7554
44166,India,Chocolate Chip,1817,9085,3634,5451
43862,India,Chocolate Chip,2363,11815,4726,7089
44105,India,Chocolate Chip,1295,6475,2590,3885
44166,India,Chocolate Chip,1916,9580,3832,5748
44166,India,Chocolate Chip,2852,14260,5704,8556
44166,India,Chocolate Chip,2729,13645,5458,8187
43891,India,Chocolate Chip,1774,8870,3548,5322
44105,India,Chocolate Chip,2009,10045,4018,6027
43831,India,Chocolate Chip,4251,21255,8502,12753
44075,India,Chocolate Chip,218,1090,436,654
44075,India,Chocolate Chip,2074,10370,4148,6222
44166,India,Chocolate Chip,2431,12155,4862,7293
43952,India,Chocolate Chip,1702,8510,3404,5106
43952,India,Chocolate Chip,257,1285,514,771
43983,India,Chocolate Chip,1094,5470,2188,3282
43831,India,Chocolate Chip,873,4365,1746,2619
44013,India,Chocolate Chip,2105,10525,4210,6315
44013,India,Chocolate Chip,4026,20130,8052,12078
44044,India,Chocolate Chip,2394,11970,4788,7182
44136,India,Chocolate Chip,1366,6830,2732,4098
43983,India,Chocolate Chip,2632,13160,5264,7896
43983,India,Chocolate Chip,1583,7915,3166,4749
44105,India,Chocolate Chip,1565,7825,3130,4695
44105,India,Chocolate Chip,1249,6245,2498,3747
43891,India,Chocolate Chip,2428,12140,4856,7284
44136,India,Chocolate Chip,700,3500,1400,2100
43922,India,Chocolate Chip,1614,8070,3228,4842
44044,India,Chocolate Chip,2559,12795,5118,7677
43922,India,Chocolate Chip,723,3615,1446,2169
43983,India,Fortune Cookie,2518,2518,503.6,2014.4
44013,India,Fortune Cookie,2666,2666,533.2,2132.8
44044,India,Fortune Cookie,1830,1830,366,1464
43891,India,Fortune Cookie,1967,1967,393.4,1573.6
43862,India,Fortune Cookie,488,488,97.6,390.4
43983,India,Fortune Cookie,708,708,141.6,566.4
43922,India,Fortune Cookie,3803,3803,760.6,3042.4
44136,India,Fortune Cookie,2321,2321,464.2,1856.8
44105,India,Fortune Cookie,2734,2734,546.8,2187.2
44105,India,Fortune Cookie,1249,1249,249.8,999.2
43831,India,Fortune Cookie,2228,2228,445.6,1782.4
43952,India,Fortune Cookie,200,200,40,160
44075,India,Fortune Cookie,388,388,77.6,310.4
44166,India,Fortune Cookie,2300,2300,460,1840
44166,India,Oatmeal Raisin,1916,9580,4215.2,5364.8
44044,India,Oatmeal Raisin,552,2760,1214.4,1545.6
43983,India,Oatmeal Raisin,1135,5675,2497,3178
43952,India,Oatmeal Raisin,1645,8225,3619,4606
44136,India,Oatmeal Raisin,1118,5590,2459.6,3130.4
43983,India,Oatmeal Raisin,708,3540,1557.6,1982.4
44105,India,Oatmeal Raisin,1269,6345,2791.8,3553.2
44013,India,Oatmeal Raisin,1631,8155,3588.2,4566.8
43862,India,Oatmeal Raisin,2240,11200,4928,6272
43922,India,Oatmeal Raisin,3521,17605,7746.2,9858.8
44075,India,Oatmeal Raisin,707,3535,1555.4,1979.6
44105,India,Oatmeal Raisin,2734,13670,6014.8,7655.2
43831,India,Oatmeal Raisin,1659,8295,3649.8,4645.2
43891,India,Oatmeal Raisin,888,4440,1953.6,2486.4
43831,India,Snickerdoodle,1619,6476,2428.5,4047.5
44075,India,Snickerdoodle,1445,5780,2167.5,3612.5
43922,India,Snickerdoodle,743,2972,1114.5,1857.5
44105,India,Snickerdoodle,1295,5180,1942.5,3237.5
44166,India,Snickerdoodle,2852,11408,4278,7130
43952,India,Snickerdoodle,831,3324,1246.5,2077.5
43983,India,Snickerdoodle,2844,11376,4266,7110
44044,India,Snickerdoodle,1884,7536,2826,4710
43983,India,Snickerdoodle,1094,4376,1641,2735
44013,India,Snickerdoodle,819,3276,1228.5,2047.5
43862,India,Snickerdoodle,1937,7748,2905.5,4842.5
44136,India,Snickerdoodle,2689,10756,4033.5,6722.5
43891,India,Snickerdoodle,923,3692,1384.5,2307.5
44105,India,Snickerdoodle,1496,5984,2244,3740
44166,India,Snickerdoodle,2300,9200,3450,5750
43862,India,Sugar,2001,6003,2501.25,3501.75
44166,India,Sugar,1817,5451,2271.25,3179.75
43891,India,Sugar,1326,3978,1657.5,2320.5
43922,India,Sugar,944,2832,1180,1652
44166,India,Sugar,2729,8187,3411.25,4775.75
44044,India,Sugar,1874,5622,2342.5,3279.5
43983,India,Sugar,2844,8532,3555,4977
44166,India,Sugar,1582,4746,1977.5,2768.5
43831,India,Sugar,3245,9735,4056.25,5678.75
44075,India,Sugar,2134,6402,2667.5,3734.5
44136,India,Sugar,2529,7587,3161.25,4425.75
43952,India,Sugar,2109,6327,2636.25,3690.75
43983,India,Sugar,1583,4749,1978.75,2770.25
44105,India,Sugar,1565,4695,1956.25,2738.75
44105,India,Sugar,1496,4488,1870,2618
44013,India,Sugar,866,2598,1082.5,1515.5
44044,India,White Chocolate Macadamia Nut,923,5538,2538.25,2999.75
44105,India,White Chocolate Macadamia Nut,2009,12054,5524.75,6529.25
43922,India,White Chocolate Macadamia Nut,3851,23106,10590.25,12515.75
44166,India,White Chocolate Macadamia Nut,2431,14586,6685.25,7900.75
43862,India,White Chocolate Macadamia Nut,952,5712,2618,3094
43952,India,White Chocolate Macadamia Nut,1262,7572,3470.5,4101.5
43983,India,White Chocolate Macadamia Nut,1135,6810,3121.25,3688.75
44166,India,White Chocolate Macadamia Nut,1582,9492,4350.5,5141.5
43891,India,White Chocolate Macadamia Nut,598,3588,1644.5,1943.5
44013,India,White Chocolate Macadamia Nut,3794,22764,10433.5,12330.5
44075,India,White Chocolate Macadamia Nut,567,3402,1559.25,1842.75
44105,India,White Chocolate Macadamia Nut,1269,7614,3489.75,4124.25
43831,India,White Chocolate Macadamia Nut,384,2304,1056,1248
44136,India,White Chocolate Macadamia Nut,1808,10848,4972,5876
43983,India,White Chocolate Macadamia Nut,2632,15792,7238,8554
43770,India,Chocolate Chip,1725,8625,3450,5175
43800,India,Chocolate Chip,2152,10760,4304,6456
43709,India,Chocolate Chip,2349,11745,4698,7047
43739,India,Chocolate Chip,1228,6140,2456,3684
43739,India,Chocolate Chip,1389,6945,2778,4167
43800,India,Chocolate Chip,1802,9010,3604,5406
43739,India,Chocolate Chip,2299,11495,4598,6897
43770,India,Chocolate Chip,1404,7020,2808,4212
43709,India,Chocolate Chip,2470,12350,4940,7410
43739,India,Chocolate Chip,1743,8715,3486,5229
43770,India,Chocolate Chip,2222,11110,4444,6666
43739,India,Fortune Cookie,345,345,69,276
43739,India,Fortune Cookie,2851,2851,570.2,2280.8
43709,India,Fortune Cookie,1283,1283,256.6,1026.4
43800,India,Fortune Cookie,1611,1611,322.2,1288.8
43800,India,Oatmeal Raisin,1778,8890,3911.6,4978.4
43739,India,Oatmeal Raisin,1228,6140,2701.6,3438.4
43709,India,Oatmeal Raisin,2761,13805,6074.2,7730.8
43739,India,Oatmeal Raisin,1743,8715,3834.6,4880.4
43800,India,Snickerdoodle,908,3632,1362,2270
43739,India,Snickerdoodle,2851,11404,4276.5,7127.5
43739,India,Snickerdoodle,2299,9196,3448.5,5747.5
43770,India,Snickerdoodle,1560,6240,2340,3900
43709,India,Snickerdoodle,2416,9664,3624,6040
43739,India,Sugar,1389,4167,1736.25,2430.75
43800,India,Sugar,2436,7308,3045,4263
43770,India,Sugar,2935,8805,3668.75,5136.25
43709,India,Sugar,623,1869,778.75,1090.25
43739,India,Sugar,269,807,336.25,470.75
43770,India,Sugar,2954,8862,3692.5,5169.5
43739,India,White Chocolate Macadamia Nut,345,2070,948.75,1121.25
43770,India,White Chocolate Macadamia Nut,2092,12552,5753,6799
43709,India,White Chocolate Macadamia Nut,2646,15876,7276.5,8599.5
43800,India,White Chocolate Macadamia Nut,1916,11496,5269,6227
43739,India,White Chocolate Macadamia Nut,269,1614,739.75,874.25
43862,India,Chocolate Chip,292,1460,584,876
43983,India,Chocolate Chip,2518,12590,5036,7554
44166,India,Chocolate Chip,1817,9085,3634,5451
43862,India,Chocolate Chip,2363,11815,4726,7089
44105,India,Chocolate Chip,1295,6475,2590,3885
44166,India,Chocolate Chip,1916,9580,3832,5748
44166,India,Chocolate Chip,2852,14260,5704,8556
44166,India,Chocolate Chip,2729,13645,5458,8187
43891,India,Chocolate Chip,1774,8870,3548,5322
44105,India,Chocolate Chip,2009,10045,4018,6027
43831,India,Chocolate Chip,4251,21255,8502,12753
44075,India,Chocolate Chip,218,1090,436,654
44075,India,Chocolate Chip,2074,10370,4148,6222
44166,India,Chocolate Chip,2431,12155,4862,7293
43952,India,Chocolate Chip,1702,8510,3404,5106
43952,India,Chocolate Chip,257,1285,514,771
43983,India,Chocolate Chip,1094,5470,2188,3282
43831,India,Chocolate Chip,873,4365,1746,2619
44013,India,Chocolate Chip,2105,10525,4210,6315
44013,India,Chocolate Chip,4026,20130,8052,12078
44044,India,Chocolate Chip,2394,11970,4788,7182
44136,India,Chocolate Chip,1366,6830,2732,4098
43983,India,Chocolate Chip,2632,13160,5264,7896
43983,India,Chocolate Chip,1583,7915,3166,4749
44105,India,Chocolate Chip,1565,7825,3130,4695
44105,India,Chocolate Chip,1249,6245,2498,3747
43891,India,Chocolate Chip,2428,12140,4856,7284
44136,India,Chocolate Chip,700,3500,1400,2100
43922,India,Chocolate Chip,1614,8070,3228,4842
44044,India,Chocolate Chip,2559,12795,5118,7677
43922,India,Chocolate Chip,723,3615,1446,2169
43983,India,Fortune Cookie,2518,2518,503.6,2014.4
44013,India,Fortune Cookie,2666,2666,533.2,2132.8
44044,India,Fortune Cookie,1830,1830,366,1464
43891,India,Fortune Cookie,1967,1967,393.4,1573.6
43862,India,Fortune Cookie,488,488,97.6,390.4
43983,India,Fortune Cookie,708,708,141.6,566.4
43922,India,Fortune Cookie,3803,3803,760.6,3042.4
44136,India,Fortune Cookie,2321,2321,464.2,1856.8
44105,India,Fortune Cookie,2734,2734,546.8,2187.2
44105,India,Fortune Cookie,1249,1249,249.8,999.2
43831,India,Fortune Cookie,2228,2228,445.6,1782.4
43952,India,Fortune Cookie,200,200,40,160
44075,India,Fortune Cookie,388,388,77.6,310.4
44166,India,Fortune Cookie,2300,2300,460,1840
44166,India,Oatmeal Raisin,1916,9580,4215.2,5364.8
44044,India,Oatmeal Raisin,552,2760,1214.4,1545.6
43983,India,Oatmeal Raisin,1135,5675,2497,3178
43952,India,Oatmeal Raisin,1645,8225,3619,4606
44136,India,Oatmeal Raisin,1118,5590,2459.6,3130.4
43983,India,Oatmeal Raisin,708,3540,1557.6,1982.4
44105,India,Oatmeal Raisin,1269,6345,2791.8,3553.2
44013,India,Oatmeal Raisin,1631,8155,3588.2,4566.8
43862,India,Oatmeal Raisin,2240,11200,4928,6272
43922,India,Oatmeal Raisin,3521,17605,7746.2,9858.8
44075,India,Oatmeal Raisin,707,3535,1555.4,1979.6
44105,India,Oatmeal Raisin,2734,13670,6014.8,7655.2
43831,India,Oatmeal Raisin,1659,8295,3649.8,4645.2
43891,India,Oatmeal Raisin,888,4440,1953.6,2486.4
43831,India,Snickerdoodle,1619,6476,2428.5,4047.5
44075,India,Snickerdoodle,1445,5780,2167.5,3612.5
43922,India,Snickerdoodle,743,2972,1114.5,1857.5
44105,India,Snickerdoodle,1295,5180,1942.5,3237.5
44166,India,Snickerdoodle,2852,11408,4278,7130
43952,India,Snickerdoodle,831,3324,1246.5,2077.5
43983,India,Snickerdoodle,2844,11376,4266,7110
44044,India,Snickerdoodle,1884,7536,2826,4710
43983,India,Snickerdoodle,1094,4376,1641,2735
44013,India,Snickerdoodle,819,3276,1228.5,2047.5
43862,India,Snickerdoodle,1937,7748,2905.5,4842.5
44136,India,Snickerdoodle,2689,10756,4033.5,6722.5
43891,India,Snickerdoodle,923,3692,1384.5,2307.5
44105,India,Snickerdoodle,1496,5984,2244,3740
44166,India,Snickerdoodle,2300,9200,3450,5750
43862,India,Sugar,2001,6003,2501.25,3501.75
44166,India,Sugar,1817,5451,2271.25,3179.75
43891,India,Sugar,1326,3978,1657.5,2320.5
43922,India,Sugar,944,2832,1180,1652
44166,India,Sugar,2729,8187,3411.25,4775.75
44044,India,Sugar,1874,5622,2342.5,3279.5
43983,India,Sugar,2844,8532,3555,4977
44166,India,Sugar,1582,4746,1977.5,2768.5
43831,India,Sugar,3245,9735,4056.25,5678.75
44075,India,Sugar,2134,6402,2667.5,3734.5
44136,India,Sugar,2529,7587,3161.25,4425.75
43952,India,Sugar,2109,6327,2636.25,3690.75
43983,India,Sugar,1583,4749,1978.75,2770.25
44105,India,Sugar,1565,4695,1956.25,2738.75
44105,India,Sugar,1496,4488,1870,2618
44013,India,Sugar,866,2598,1082.5,1515.5
44044,India,White Chocolate Macadamia Nut,923,5538,2538.25,2999.75
44105,India,White Chocolate Macadamia Nut,2009,12054,5524.75,6529.25
43922,India,White Chocolate Macadamia Nut,3851,23106,10590.25,12515.75
44166,India,White Chocolate Macadamia Nut,2431,14586,6685.25,7900.75
43862,India,White Chocolate Macadamia Nut,952,5712,2618,3094
43952,India,White Chocolate Macadamia Nut,1262,7572,3470.5,4101.5
43983,India,White Chocolate Macadamia Nut,1135,6810,3121.25,3688.75
44166,India,White Chocolate Macadamia Nut,1582,9492,4350.5,5141.5
43891,India,White Chocolate Macadamia Nut,598,3588,1644.5,1943.5
44013,India,White Chocolate Macadamia Nut,3794,22764,10433.5,12330.5
44075,India,White Chocolate Macadamia Nut,567,3402,1559.25,1842.75
44105,India,White Chocolate Macadamia Nut,1269,7614,3489.75,4124.25
43831,India,White Chocolate Macadamia Nut,384,2304,1056,1248
44136,India,White Chocolate Macadamia Nut,1808,10848,4972,5876
43983,India,White Chocolate Macadamia Nut,2632,15792,7238,8554
43862,Malaysia,Chocolate Chip,974,4870,1948,2922
44044,Malaysia,Chocolate Chip,883,4415,1766,2649
44075,Malaysia,Chocolate Chip,2472,12360,4944,7416
44013,Malaysia,Chocolate Chip,1823,9115,3646,5469
43983,Malaysia,Chocolate Chip,662,3310,1324,1986
44166,Malaysia,Chocolate Chip,1084,5420,2168,3252
44105,Malaysia,Chocolate Chip,2031,10155,4062,6093
44166,Malaysia,Chocolate Chip,1138,5690,2276,3414
44105,Malaysia,Chocolate Chip,2689,13445,5378,8067
43922,Malaysia,Chocolate Chip,1607,8035,3214,4821
43891,Malaysia,Chocolate Chip,1114,5570,2228,3342
43983,Malaysia,Chocolate Chip,2460,12300,4920,7380
44075,Malaysia,Chocolate Chip,2993,14965,5986,8979
44166,Malaysia,Chocolate Chip,1362,6810,2724,4086
43831,Malaysia,Chocolate Chip,2565,12825,5130,7695
43831,Malaysia,Chocolate Chip,2417,12085,4834,7251
43983,Malaysia,Chocolate Chip,1038,5190,2076,3114
43952,Malaysia,Chocolate Chip,591,2955,1182,1773
43891,Malaysia,Chocolate Chip,1122,5610,2244,3366
44044,Malaysia,Chocolate Chip,1984,9920,3968,5952
43983,Malaysia,Chocolate Chip,886,4430,1772,2658
44105,Malaysia,Chocolate Chip,2156,10780,4312,6468
44105,Malaysia,Chocolate Chip,905,4525,1810,2715
44136,Malaysia,Chocolate Chip,2150,10750,4300,6450
44136,Malaysia,Chocolate Chip,1197,5985,2394,3591
44166,Malaysia,Chocolate Chip,1233,6165,2466,3699
44013,Malaysia,Chocolate Chip,571,2855,1142,1713
43862,Malaysia,Chocolate Chip,260,1300,520,780
43922,Malaysia,Chocolate Chip,2535,12675,5070,7605
43952,Malaysia,Chocolate Chip,2851,14255,5702,8553
43983,Malaysia,Fortune Cookie,2470,2470,494,1976
44044,Malaysia,Fortune Cookie,958,958,191.6,766.4
43891,Malaysia,Fortune Cookie,2214,2214,442.8,1771.2
44136,Malaysia,Fortune Cookie,690,690,138,552
44105,Malaysia,Fortune Cookie,2031,2031,406.2,1624.8
44166,Malaysia,Fortune Cookie,1138,1138,227.6,910.4
43922,Malaysia,Fortune Cookie,980,980,196,784
43831,Malaysia,Fortune Cookie,2340,2340,468,1872
44166,Malaysia,Fortune Cookie,2157,2157,431.4,1725.6
44075,Malaysia,Fortune Cookie,2420,2420,484,1936
43952,Malaysia,Fortune Cookie,2661,2661,532.2,2128.8
43983,Malaysia,Fortune Cookie,604,604,120.8,483.2
44013,Malaysia,Fortune Cookie,2255,2255,451,1804
44105,Malaysia,Fortune Cookie,546,546,109.2,436.8
43862,Malaysia,Fortune Cookie,1368,1368,273.6,1094.4
43891,Malaysia,Oatmeal Raisin,1101,5505,2422.2,3082.8
43862,Malaysia,Oatmeal Raisin,1865,9325,4103,5222
43922,Malaysia,Oatmeal Raisin,1074,5370,2362.8,3007.2
44013,Malaysia,Oatmeal Raisin,1683,8415,3702.6,4712.4
44044,Malaysia,Oatmeal Raisin,1123,5615,2470.6,3144.4
44075,Malaysia,Oatmeal Raisin,1679,8395,3693.8,4701.2
43983,Malaysia,Oatmeal Raisin,2460,12300,5412,6888
44166,Malaysia,Oatmeal Raisin,635,3175,1397,1778
44136,Malaysia,Oatmeal Raisin,1694,8470,3726.8,4743.2
43983,Malaysia,Oatmeal Raisin,1038,5190,2283.6,2906.4
43952,Malaysia,Oatmeal Raisin,2039,10195,4485.8,5709.2
43831,Malaysia,Oatmeal Raisin,2629,13145,5783.8,7361.2
44166,Malaysia,Oatmeal Raisin,2157,10785,4745.4,6039.6
44105,Malaysia,Oatmeal Raisin,410,2050,902,1148
44105,Malaysia,Oatmeal Raisin,546,2730,1201.2,1528.8
43983,Malaysia,Snickerdoodle,2470,9880,3705,6175
43891,Malaysia,Snickerdoodle,1210,4840,1815,3025
44105,Malaysia,Snickerdoodle,1397,5588,2095.5,3492.5
44136,Malaysia,Snickerdoodle,2791,11164,4186.5,6977.5
44075,Malaysia,Snickerdoodle,562,2248,843,1405
43862,Malaysia,Snickerdoodle,727,2908,1090.5,1817.5
44044,Malaysia,Snickerdoodle,1540,6160,2310,3850
44166,Malaysia,Snickerdoodle,1362,5448,2043,3405
44166,Malaysia,Snickerdoodle,521,2084,781.5,1302.5
43983,Malaysia,Snickerdoodle,886,3544,1329,2215
44105,Malaysia,Snickerdoodle,2156,8624,3234,5390
43922,Malaysia,Snickerdoodle,2579,10316,3868.5,6447.5
44013,Malaysia,Snickerdoodle,801,3204,1201.5,2002.5
44105,Malaysia,Sugar,1397,4191,1746.25,2444.75
43983,Malaysia,Sugar,662,1986,827.5,1158.5
43922,Malaysia,Sugar,1916,5748,2395,3353
44044,Malaysia,Sugar,1642,4926,2052.5,2873.5
44105,Malaysia,Sugar,2689,8067,3361.25,4705.75
43983,Malaysia,Sugar,1498,4494,1872.5,2621.5
43862,Malaysia,Sugar,2747,8241,3433.75,4807.25
44136,Malaysia,Sugar,877,2631,1096.25,1534.75
44166,Malaysia,Sugar,521,1563,651.25,911.75
43952,Malaysia,Sugar,341,1023,426.25,596.75
44013,Malaysia,Sugar,641,1923,801.25,1121.75
44075,Malaysia,Sugar,432,1296,540,756
43831,Malaysia,Sugar,554,1662,692.5,969.5
44166,Malaysia,Sugar,1233,3699,1541.25,2157.75
43891,Malaysia,Sugar,2903,8709,3628.75,5080.25
43831,Malaysia,White Chocolate Macadamia Nut,1493,8958,4105.75,4852.25
43952,Malaysia,White Chocolate Macadamia Nut,362,2172,995.5,1176.5
44166,Malaysia,White Chocolate Macadamia Nut,1084,6504,2981,3523
43831,Malaysia,White Chocolate Macadamia Nut,2861,17166,7867.75,9298.25
43983,Malaysia,White Chocolate Macadamia Nut,1498,8988,4119.5,4868.5
44136,Malaysia,White Chocolate Macadamia Nut,1333,7998,3665.75,4332.25
44044,Malaysia,White Chocolate Macadamia Nut,609,3654,1674.75,1979.25
44166,Malaysia,White Chocolate Macadamia Nut,635,3810,1746.25,2063.75
43952,Malaysia,White Chocolate Macadamia Nut,245,1470,673.75,796.25
44075,Malaysia,White Chocolate Macadamia Nut,2110,12660,5802.5,6857.5
43922,Malaysia,White Chocolate Macadamia Nut,2628,15768,7227,8541
44013,Malaysia,White Chocolate Macadamia Nut,1395,8370,3836.25,4533.75
44105,Malaysia,White Chocolate Macadamia Nut,905,5430,2488.75,2941.25
43983,Malaysia,White Chocolate Macadamia Nut,604,3624,1661,1963
44105,Malaysia,White Chocolate Macadamia Nut,410,2460,1127.5,1332.5
43862,Malaysia,White Chocolate Macadamia Nut,1575,9450,4331.25,5118.75
43891,Malaysia,White Chocolate Macadamia Nut,500,3000,1375,1625
43709,Malaysia,Chocolate Chip,788,3940,1576,2364
43739,Malaysia,Chocolate Chip,2145,10725,4290,6435
43709,Malaysia,Chocolate Chip,1760,8800,3520,5280
43739,Malaysia,Chocolate Chip,1514,7570,3028,4542
43770,Malaysia,Chocolate Chip,2763,13815,5526,8289
43800,Malaysia,Chocolate Chip,1946,9730,3892,5838
43739,Malaysia,Chocolate Chip,367,1835,734,1101
43739,Malaysia,Chocolate Chip,1715,8575,3430,5145
43800,Malaysia,Chocolate Chip,380,1900,760,1140
43770,Malaysia,Chocolate Chip,2151,10755,4302,6453
43770,Malaysia,Fortune Cookie,1660,1660,332,1328
43709,Malaysia,Fortune Cookie,720,720,144,576
43800,Malaysia,Fortune Cookie,1100,1100,220,880
43739,Malaysia,Fortune Cookie,1715,1715,343,1372
43739,Malaysia,Fortune Cookie,1727,1727,345.4,1381.6
43800,Malaysia,Oatmeal Raisin,1375,6875,3025,3850
43709,Malaysia,Oatmeal Raisin,947,4735,2083.4,2651.6
43739,Malaysia,Oatmeal Raisin,344,1720,756.8,963.2
43739,Malaysia,Oatmeal Raisin,1727,8635,3799.4,4835.6
43770,Malaysia,Oatmeal Raisin,1870,9350,4114,5236
43739,Malaysia,Snickerdoodle,494,1976,741,1235
43709,Malaysia,Snickerdoodle,1834,7336,2751,4585
43739,Malaysia,Snickerdoodle,367,1468,550.5,917.5
43770,Malaysia,Snickerdoodle,2706,10824,4059,6765
43800,Malaysia,Snickerdoodle,2821,11284,4231.5,7052.5
43739,Malaysia,Sugar,494,1482,617.5,864.5
43800,Malaysia,Sugar,1940,5820,2425,3395
43739,Malaysia,Sugar,1514,4542,1892.5,2649.5
43770,Malaysia,Sugar,1123,3369,1403.75,1965.25
43709,Malaysia,Sugar,1005,3015,1256.25,1758.75
43739,Malaysia,White Chocolate Macadamia Nut,2145,12870,5898.75,6971.25
43800,Malaysia,White Chocolate Macadamia Nut,544,3264,1496,1768
43709,Malaysia,White Chocolate Macadamia Nut,655,3930,1801.25,2128.75
43739,Malaysia,White Chocolate Macadamia Nut,344,2064,946,1118
43770,Malaysia,White Chocolate Macadamia Nut,2605,15630,7163.75,8466.25
43862,Malaysia,Chocolate Chip,974,4870,1948,2922
44044,Malaysia,Chocolate Chip,883,4415,1766,2649
44075,Malaysia,Chocolate Chip,2472,12360,4944,7416
44013,Malaysia,Chocolate Chip,1823,9115,3646,5469
43983,Malaysia,Chocolate Chip,662,3310,1324,1986
44166,Malaysia,Chocolate Chip,1084,5420,2168,3252
44105,Malaysia,Chocolate Chip,2031,10155,4062,6093
44166,Malaysia,Chocolate Chip,1138,5690,2276,3414
44105,Malaysia,Chocolate Chip,2689,13445,5378,8067
43922,Malaysia,Chocolate Chip,1607,8035,3214,4821
43891,Malaysia,Chocolate Chip,1114,5570,2228,3342
43983,Malaysia,Chocolate Chip,2460,12300,4920,7380
44075,Malaysia,Chocolate Chip,2993,14965,5986,8979
44166,Malaysia,Chocolate Chip,1362,6810,2724,4086
43831,Malaysia,Chocolate Chip,2565,12825,5130,7695
43831,Malaysia,Chocolate Chip,2417,12085,4834,7251
43983,Malaysia,Chocolate Chip,1038,5190,2076,3114
43952,Malaysia,Chocolate Chip,591,2955,1182,1773
43891,Malaysia,Chocolate Chip,1122,5610,2244,3366
44044,Malaysia,Chocolate Chip,1984,9920,3968,5952
43983,Malaysia,Chocolate Chip,886,4430,1772,2658
44105,Malaysia,Chocolate Chip,2156,10780,4312,6468
44105,Malaysia,Chocolate Chip,905,4525,1810,2715
44136,Malaysia,Chocolate Chip,2150,10750,4300,6450
44136,Malaysia,Chocolate Chip,1197,5985,2394,3591
44166,Malaysia,Chocolate Chip,1233,6165,2466,3699
44013,Malaysia,Chocolate Chip,571,2855,1142,1713
43862,Malaysia,Chocolate Chip,260,1300,520,780
43922,Malaysia,Chocolate Chip,2535,12675,5070,7605
43952,Malaysia,Chocolate Chip,2851,14255,5702,8553
43983,Malaysia,Fortune Cookie,2470,2470,494,1976
44044,Malaysia,Fortune Cookie,958,958,191.6,766.4
43891,Malaysia,Fortune Cookie,2214,2214,442.8,1771.2
44136,Malaysia,Fortune Cookie,690,690,138,552
44105,Malaysia,Fortune Cookie,2031,2031,406.2,1624.8
44166,Malaysia,Fortune Cookie,1138,1138,227.6,910.4
43922,Malaysia,Fortune Cookie,980,980,196,784
43831,Malaysia,Fortune Cookie,2340,2340,468,1872
44166,Malaysia,Fortune Cookie,2157,2157,431.4,1725.6
44075,Malaysia,Fortune Cookie,2420,2420,484,1936
43952,Malaysia,Fortune Cookie,2661,2661,532.2,2128.8
43983,Malaysia,Fortune Cookie,604,604,120.8,483.2
44013,Malaysia,Fortune Cookie,2255,2255,451,1804
44105,Malaysia,Fortune Cookie,546,546,109.2,436.8
43862,Malaysia,Fortune Cookie,1368,1368,273.6,1094.4
43891,Malaysia,Oatmeal Raisin,1101,5505,2422.2,3082.8
43862,Malaysia,Oatmeal Raisin,1865,9325,4103,5222
43922,Malaysia,Oatmeal Raisin,1074,5370,2362.8,3007.2
44013,Malaysia,Oatmeal Raisin,1683,8415,3702.6,4712.4
44044,Malaysia,Oatmeal Raisin,1123,5615,2470.6,3144.4
44075,Malaysia,Oatmeal Raisin,1679,8395,3693.8,4701.2
43983,Malaysia,Oatmeal Raisin,2460,12300,5412,6888
44166,Malaysia,Oatmeal Raisin,635,3175,1397,1778
44136,Malaysia,Oatmeal Raisin,1694,8470,3726.8,4743.2
43983,Malaysia,Oatmeal Raisin,1038,5190,2283.6,2906.4
43952,Malaysia,Oatmeal Raisin,2039,10195,4485.8,5709.2
